fine_accuracy,fine_macro_f1,coarse_accuracy,coarse_macro_f1,bin_f1_malicious
0.9919198922652303,0.7681298693574409,0.993646581954426,0.7886573424030936,0.9979239652264176
0.9921798957319431,0.7659471685252365,0.9943065907545434,0.7936021632317921,0.9980652624179784
0.992053227376365,0.7749366224256261,0.994059920798944,0.7950368387431633,0.9979687217285325
0.991926559020787,0.7581433106344333,0.9939465859544794,0.8001983181639218,0.9979055695449995
0.991953226043014,0.7665594091088711,0.9939865864878198,0.7808160003015157,0.9978795835652361
0.9916798890651876,0.7670009418288882,0.9937865838211176,0.803003805180881,0.9978224958702507
0.9917998906652089,0.7630866251853974,0.9940399205322737,0.7891428964292011,0.9981025704028283
0.9919932265763544,0.7776931302963798,0.9938465846211283,0.7967355942359436,0.9980109908136483
0.9918198909318791,0.7721417675641848,0.9940265870211603,0.8080611839325454,0.9979087075676082
0.9920732276430353,0.7881718995161456,0.993906585421139,0.7983807228292611,0.9978321948088746
0.9914732196429286,0.7607589311457259,0.9937199162655502,0.7698630463440073,0.9979681668083827
0.9917798903985386,0.7615509395625428,0.9937065827544367,0.7972574398025767,0.9978995686431213
0.9924798997319965,0.7910036971694755,0.9942999239989867,0.8026931866922806,0.9981932011079878
0.9921598954652728,0.7534360581533766,0.9941399218656248,0.7803985035612842,0.9980134620373278
0.9923398978653049,0.7781494271172401,0.9941665888878518,0.7994838180202601,0.9980473550536636
0.9919132255096734,0.7658524377612306,0.9938599181322417,0.804384593766305,0.9979730698096596
0.9920198935985813,0.7750311507000679,0.9938932519100254,0.8065047547697733,0.9979680557879674
0.9917332231096415,0.7637916771930783,0.993826584354458,0.7791644614691764,0.9979127309745941
0.9919932265763544,0.768959650293313,0.99400658675449,0.785086143801675,0.99804348048773
0.9921998959986134,0.7768187309539423,0.9939799197322631,0.8108707780153825,0.9979413120294977
0.991926559020787,0.7713495246748199,0.9936532487099828,0.8064808644062873,0.9978556160323433
0.9922798970652942,0.780534187939631,0.9943465912878838,0.796104120880937,0.9980437343165873
0.9921732289763864,0.7731292644430976,0.9940732543100574,0.8077800814260027,0.9979469766583885
0.9919398925319004,0.7599905159106466,0.9936799157322098,0.770270390298947,0.9979442558684324
0.9924665662208829,0.7836800138167224,0.9941665888878518,0.7996380208397036,0.9980471817281759
0.99189989199856,0.7829365457126869,0.9936599154655396,0.8055335886272972,0.9978541505784909
0.9918265576874359,0.7471914514577035,0.9940532540433873,0.7583665988025237,0.9980914401603327
0.9922732303097375,0.7688278892389205,0.9942532567100895,0.7795825802438413,0.9979879413121082
0.9918932252430033,0.7667694590699095,0.9938399178655716,0.7956046799837391,0.9979414385350416
0.9924465659542128,0.7722778285133358,0.9943999253323378,0.8070539573522059,0.9980749407805364
0.992233229776397,0.7676746867677666,0.9943599247989974,0.7957179800392884,0.9980718368739868
0.9918665582207763,0.7705834638628014,0.9938732516433553,0.8265374089187163,0.9978765678235162
0.9919198922652303,0.7792872482494351,0.9939865864878198,0.7914629983632043,0.9979141988099668
0.9919665595541274,0.7793332257306574,0.9938199175989013,0.8070720694770845,0.9978784969783101
0.9921198949319324,0.7683586445182778,0.9941199215989547,0.7884733486527533,0.9980429325272812
0.9919932265763544,0.7707172650067563,0.9939732529767064,0.8090337018359621,0.9980568731708483
0.9919665595541274,0.7703024639498333,0.994113254843398,0.814566539392171,0.9979887245645367
0.9920132268430246,0.7740462646722127,0.9941265883545114,0.8017045126714781,0.9980913749953053
0.991953226043014,0.7723374737136265,0.9938665848877986,0.7898590059589525,0.9979556523312048
0.992106561420819,0.7768758263560493,0.9940265870211603,0.8163782461111494,0.9980159610978121
0.991693222576301,0.7863791436796921,0.9937865838211176,0.7944207306071208,0.9979955129540402
0.9915198869318258,0.7746550713678376,0.9935399138655182,0.8097694372422071,0.9978523114114309
0.9923932319097588,0.7657300426769923,0.994086587821171,0.771809974449618,0.9980267784597947
0.9920998946652622,0.7684552581617414,0.9941332551100681,0.8146672870372268,0.9979071855571905
